time,follower_x,follower_y,follower_z,tag_x,tag_y,tag_z,set_x,set_y,set_z,distance
14.187,3.421581745147705,3.3624765872955322,1.0336008071899414,4.836552143096924,2.3290326595306396,0.9336063861846924,3.6530063272900697,3.1106954519749848,1.2,1.7521836601528673
14.263,3.479008197784424,3.3397583961486816,1.0159956216812134,4.911159515380859,2.2967469692230225,0.893648087978363,3.7998688804892007,3.2324810364673406,1.2,1.7717026367849391
14.363,3.5335845947265625,3.291781187057495,1.053404450416565,4.958376407623291,2.2454476356506348,0.8438326716423035,3.7282086931352,3.0268700564539466,1.2,1.767723284594407
14.461,3.5735719203948975,3.275179386138916,1.0973573923110962,3.561113119125366,2.37422251701355,1.1946812868118286,3.855986143727743,3.0550170825111356,1.2,0.901043007715645
14.563,3.596921682357788,3.2719483375549316,1.1710941791534424,3.251694440841675,2.3409042358398438,1.2071820497512817,3.855064677743928,2.9909931310876914,1.2,0.9929878990316446
14.67,3.6211154460906982,3.262821674346924,1.2382495403289795,3.089409112930298,2.321899890899658,1.240307331085205,3.84442978114373,2.957719533917569,1.2,1.0807615034263858
14.761,3.627384901046753,3.227787971496582,1.2801140546798706,2.968815565109253,2.3055171966552734,1.2643327713012695,3.816467819647464,2.913769457414073,1.2,1.1332682614295466
14.862,3.6635801792144775,3.182173728942871,1.2927451133728027,2.858821153640747,2.2926928997039795,1.2890205383300781,3.7828794332000717,2.859248352906639,1.2,1.1995054125871574
14.963,3.7109951972961426,3.142085552215576,1.2890163660049438,2.7629404067993164,2.3022961616516113,1.3067878484725952,3.7582733487985127,2.793543823204611,1.2,1.266512576442799
15.064,3.7513179779052734,3.0985772609710693,1.2924405336380005,2.6406943798065186,2.307995319366455,1.2992583513259888,3.7309678367123915,2.7425844963036443,1.2,1.3632698130029677
15.162,3.783820629119873,3.0483455657958984,1.3074004650115967,2.50998592376709,2.3033487796783447,1.3088897466659546,3.6984113882292675,2.7020915830849006,1.2,1.47569477463556
15.27,3.823361873626709,2.9983034133911133,1.315460443496704,2.4106943607330322,2.287670135498047,1.329484462738037,3.6394996862461904,2.6752886459457885,1.2,1.5813377746813773
15.37,3.8463633060455322,2.951848030090332,1.3475693464279175,2.348658800125122,2.270519733428955,1.346443772315979,3.5801096127287235,2.6807686317245714,1.2,1.6453957076903396
15.461,3.8403842449188232,2.9085488319396973,1.3587673902511597,2.303612232208252,2.2390565872192383,1.3417911529541016,3.482267423475678,2.7862153391876032,1.2,1.676272079583544
15.562,3.8177099227905273,2.8574633598327637,1.3541898727416992,2.2341835498809814,2.2225406169891357,1.3610907793045044,3.473672413008488,2.7487914147817882,1.2,1.706072291281978
15.661,3.7692787647247314,2.811307430267334,1.34019136428833,2.196469783782959,2.190079689025879,1.3774689435958862,3.4464416287091195,2.708601498330627,1.2,1.6910505601604753
15.766,3.7488036155700684,2.7706501483917236,1.3122249841690063,2.1609575748443604,2.149566650390625,1.384547472000122,3.397247550993897,2.6643626242687475,1.2,1.7049925983820537
15.86,3.6951797008514404,2.7484867572784424,1.2685612440109253,2.1176977157592773,2.1099650859832764,1.3912122249603271,3.3762867982577847,2.6249407773151634,1.2,1.7018106057972149
15.96,3.632769823074341,2.7246322631835938,1.2145910263061523,2.0668931007385254,2.0730998516082764,1.3769886493682861,3.3244023699972374,2.598406209156332,1.2,1.6960142667107212
16.061,3.5683698654174805,2.7171595096588135,1.1635476350784302,2.022350549697876,2.0129923820495605,1.358314037322998,3.2634623819588358,2.570970251167879,1.2,1.698831088773566
16.162,3.503103017807007,2.714912176132202,1.12662935256958,2.0085701942443848,1.9585505723953247,1.3514550924301147,3.2043503166969023,2.5513591232018853,1.2,1.6750257419853238
16.261,3.450838565826416,2.6983044147491455,1.1080005168914795,1.970318078994751,1.9070628881454468,1.3619987964630127,3.1462051418875054,2.5342912854131376,1.2,1.678691176288963
16.36,3.408036947250366,2.681720495223999,1.109036922454834,1.93071448802948,1.85611891746521,1.4010192155838013,3.098058850833308,2.5097666925570565,1.2,1.6923650946873872
16.463,3.371053695678711,2.6596336364746094,1.1088920831680298,1.8899585008621216,1.801527738571167,1.4262058734893799,3.058863482527312,2.4865849230355894,1.2,1.7117209784674206
16.56,3.3440871238708496,2.618149757385254,1.1192067861557007,1.8446507453918457,1.7227519750595093,1.437408685684204,3.0249470080939904,2.459108922762976,1.2,1.746438273086138
16.662,3.3418848514556885,2.6197211742401123,1.1628998517990112,1.7995957136154175,1.6594552993774414,1.4500330686569214,2.9442497290483614,2.6067454730339414,1.2,1.8168011270157933
16.761,3.3243813514709473,2.603984832763672,1.183924913406372,1.7695658206939697,1.6088422536849976,1.469411015510559,3.002323384896368,2.4083021343499365,1.2,1.8460119413049987
16.86,3.280862331390381,2.5737714767456055,1.2087866067886353,1.7556957006454468,1.5425513982772827,1.4726078510284424,2.987478757075413,2.3883540328079187,1.2,1.8410725411493345
16.96,3.2584452629089355,2.5535764694213867,1.2726316452026367,1.702135443687439,1.4795726537704468,1.4968050718307495,2.949497521659894,2.3497237968373366,1.2,1.8909215873319616
17.061,3.2057719230651855,2.5528337955474854,1.3262250423431396,1.5917366743087769,1.837084412574768,1.4270285367965698,2.880164171052437,2.4235633333779276,1.2,1.765618011760751
17.165,3.148380756378174,2.5393967628479004,1.3417024612426758,1.3867653608322144,2.4022626876831055,1.428147554397583,2.8832165862435533,2.316279246472894,1.2,1.766944978315921
17.259,3.117274284362793,2.5235373973846436,1.3418036699295044,1.2478246688842773,2.5269291400909424,1.392073154449463,2.7495872642967263,2.5083524288482084,1.2,1.8694526922956236
17.359,3.0788042545318604,2.4911813735961914,1.312445878982544,1.146885871887207,2.593585252761841,1.3706051111221313,2.754662424634584,2.354680537339072,1.2,1.9346305052046775
17.46,3.0481956005096436,2.4622881412506104,1.2892931699752808,1.0707104206085205,2.5935704708099365,1.3732995986938477,2.6793650070999044,2.5123541771656908,1.2,1.981838209032993
17.559,3.024838447570801,2.4471054077148438,1.2879630327224731,1.0037075281143188,2.6196866035461426,1.3167537450790405,2.6490741846669232,2.48878522440522,1.2,2.0284857561091143
17.66,3.0202243328094482,2.4261934757232666,1.3100244998931885,0.9453668594360352,2.6112098693847656,1.3149755001068115,2.6262887583024352,2.4811369399179255,1.2,2.0830901566511733
17.759,2.9763944149017334,2.411494493484497,1.3261029720306396,0.9049010872840881,2.608349561691284,1.3703721761703491,2.6334732535486323,2.5282895221236728,1.2,2.0808259235801354
17.86,2.927231788635254,2.397202253341675,1.3097485303878784,0.8316801190376282,2.5959479808807373,1.3940494060516357,2.577865587852137,2.4457694699319377,1.2,2.104955264172716
17.96,2.8696560859680176,2.400621175765991,1.2913812398910522,0.7694315910339355,2.579014301300049,1.4111301898956299,2.529018732944265,2.434969465010598,1.2,2.1077872369760025
18.059,2.8157520294189453,2.4122607707977295,1.2483539581298828,0.7317289710044861,2.5664255619049072,1.414208173751831,2.495858335254711,2.5430123326602048,1.2,2.0897174188919125
18.159,2.7645604610443115,2.4216461181640625,1.234216570854187,0.6914221048355103,2.564941644668579,1.4187402725219727,2.416781174837519,2.440935798165918,1.2,2.0780847557066426
18.259,2.7547221183776855,2.4592442512512207,1.2466180324554443,0.6628512740135193,2.554255485534668,1.400773525238037,2.365354311666303,2.4468344150255623,1.2,2.094027402910696
18.36,2.712697744369507,2.4740490913391113,1.261660099029541,0.6469094157218933,2.562230110168457,1.367364764213562,2.3551987078404992,2.478764610692965,1.2,2.067669536182821
18.469,2.6919870376586914,2.4814586639404297,1.2635633945465088,0.6161611080169678,2.574251174926758,1.3403135538101196,2.313153818385464,2.4931449340609637,1.2,2.0778988763335127
18.56,2.6719987392425537,2.478559970855713,1.2696374654769897,0.5991268754005432,2.576683282852173,1.309391736984253,2.292400441380779,2.4996397550801976,1.2,2.07519299060714
