time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy,separation_3d
16.34,0.6299645900726318,3.0250003337860107,0.7298693060874939,0.5340232477583498,2.7586289120123144,0.7,1.3297803401947021,3.929232120513916,0.994839072227478,1.1658506609208308,3.3082634270466835,1.0,1.1434059682580182,1.1737061749928446
16.377,0.6299645900726318,3.0250003337860107,0.7298693060874939,0.5340232477583498,2.7586289120123144,0.7,1.3552908897399902,3.851677179336548,0.9854563474655151,1.1658506609208308,3.3082634270466835,1.0,1.0997694521846517,1.1290782008695852
16.441,0.6158745288848877,3.013810634613037,0.7332571148872375,0.5244564082769142,2.7198060523462018,0.7,1.3552908897399902,3.851677179336548,0.9854563474655151,1.1935660979461673,3.2307996057057067,1.0,1.1174779199013813,1.1455834122315975
16.478,0.6158745288848877,3.013810634613037,0.7332571148872375,0.5244564082769142,2.7198060523462018,0.7,1.3484469652175903,3.744641065597534,0.9915068745613098,1.1935660979461673,3.2307996057057067,1.0,1.0347828242329002,1.066521650834681
16.563,0.6052497625350952,2.9962737560272217,0.7236514687538147,0.5164449880389249,2.680608799470705,0.7,1.3484469652175903,3.744641065597534,0.9915068745613098,1.0857323824042129,3.3869508193777076,1.0,1.054701717126029,1.0881829949640325
16.598,0.6052497625350952,2.9962737560272217,0.7236514687538147,0.5164449880389249,2.680608799470705,0.7,1.3285670280456543,3.625767707824707,1.0049782991409302,1.0857323824042129,3.3869508193777076,1.0,0.9588798162101898,0.9992973968899089
16.666,0.5896352529525757,2.9687371253967285,0.7173236012458801,0.5100081359473773,2.6411244454714113,0.7,1.3285670280456543,3.625767707824707,1.0049782991409302,0.9161527829473942,3.509439725181948,1.0,0.9887918661112948,1.0297837538575512
16.68,0.5896352529525757,2.9687371253967285,0.7173236012458801,0.5100081359473773,2.6411244454714113,0.7,1.301065444946289,3.519441843032837,0.995359480381012,0.9161527829473942,3.509439725181948,1.0,0.8996713867334438,0.941654158485653
16.739,0.5785951018333435,2.926447629928589,0.7067112922668457,0.5051535861012658,2.6013933565517404,0.7,1.301065444946289,3.519441843032837,0.995359480381012,0.885592263800546,3.4906657102911893,1.0,0.9346686757631624,0.9782245703080938
16.775,0.5785951018333435,2.926447629928589,0.7067112922668457,0.5051535861012658,2.6013933565517404,0.7,1.2715890407562256,3.439365863800049,0.9645323157310486,0.885592263800546,3.4906657102911893,1.0,0.8621633917197302,0.8998874341615166
16.84,0.5663107633590698,2.8825836181640625,0.7077427506446838,0.5018953580379473,2.561539610770645,0.7,1.2715890407562256,3.439365863800049,0.9645323157310486,0.7301524615205625,3.506990795183886,1.0,0.898567703416805,0.9345398859123112
16.924,0.5663107633590698,2.8825836181640625,0.7077427506446838,0.5002315914709913,2.5215204392932207,0.7,1.2120764255523682,3.3863942623138428,0.9568505883216858,0.7281182180796524,3.460353769346041,1.0,0.8190472853422845,0.8560918002286187
